date,n_expected_hours,n_rows,valid_hours,coverage_fraction,quality_class,eligible_ge_12,eligible_ge_17,eligible_ge_18,eligible_ge_22,oxygen_mean_mgL,oxygen_median_mgL,oxygen_std_mgL,oxygen_min_mgL,oxygen_max_mgL,oxygen_q10_mgL,oxygen_q25_mgL,oxygen_q75_mgL,oxygen_q90_mgL,raw_prom_non_na_count,raw_prom_na_count,negative_oxygen_count,zero_oxygen_count,invalid_oxygen_count,first_valid_hour,last_valid_hour,longest_invalid_run_hours,source_variable,unit,timezone_status
2015-09-24,24,24,24,1.0,high,True,True,True,True,8.88975,8.902999999999999,1.1946711481298578,6.696,10.958,7.3989,8.123750000000001,9.67325,10.4968,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-25,24,24,24,1.0,high,True,True,True,True,5.9750000000000005,5.724500000000001,1.802586499160726,3.373,9.014,3.7302,4.63075,7.437,8.296,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-26,24,24,24,1.0,high,True,True,True,True,3.673250000000001,3.2344999999999997,1.1353512097871818,2.334,6.692,2.6829,2.71525,4.327500000000001,5.063,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-27,24,24,24,1.0,high,True,True,True,True,3.1802499999999996,2.7140000000000004,0.9651050517273057,2.022,5.545,2.3198,2.5765000000000002,4.1745,4.2891,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-28,24,24,24,1.0,high,True,True,True,True,3.7292500000000004,3.5175,0.8905435199189118,2.247,5.799,2.8544,3.0717499999999998,4.241,4.6185,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-29,24,24,24,1.0,high,True,True,True,True,3.2573749999999997,3.3040000000000003,0.8200044439169084,2.086,4.519,2.3238000000000003,2.46275,4.1899999999999995,4.2238,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-30,24,24,24,1.0,high,True,True,True,True,4.247041666666667,4.179,0.7933417750890529,3.132,6.666,3.5953,3.7432499999999997,4.322,5.3050999999999995,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-01,24,24,24,1.0,high,True,True,True,True,5.286375,5.035,1.0726337683883331,3.628,8.007,4.0811,4.7357499999999995,5.72575,6.6592,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-02,24,24,24,1.0,high,True,True,True,True,6.194708333333334,6.1325,1.1901163070369896,4.272,8.765,4.849,5.19575,6.7435,7.9094,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-03,24,24,24,1.0,high,True,True,True,True,7.541625,7.044499999999999,1.4699951142332293,5.692,10.059,5.898300000000001,6.50625,8.477,9.9279,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-04,24,24,24,1.0,high,True,True,True,True,6.433541666666667,5.8965,1.3868451209463706,4.441,9.6,5.0248,5.3735,7.8175,8.0495,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-05,24,24,24,1.0,high,True,True,True,True,5.895333333333333,5.638999999999999,1.4765653349600882,3.497,8.999,4.4122,5.06175,6.22925,8.4612,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-06,24,24,24,1.0,high,True,True,True,True,4.355458333333334,4.252000000000001,1.113102752363339,2.399,6.214,2.9123,3.43825,5.3092500000000005,5.8305,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-07,24,24,24,1.0,high,True,True,True,True,3.3270416666666662,3.1155,0.852863538662376,2.252,4.951,2.4553,2.73875,3.72425,4.8241000000000005,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-08,24,24,24,1.0,high,True,True,True,True,2.9591250000000002,3.0090000000000003,0.599455282627124,1.996,3.938,2.1004,2.4525,3.47775,3.625,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-09,24,24,24,1.0,high,True,True,True,True,3.0922916666666667,3.1630000000000003,1.0663090945616696,1.028,4.853,1.4984,2.5892500000000003,3.69475,4.4462,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-10,24,24,24,1.0,high,True,True,True,True,2.361875,1.714,1.2855160463544524,0.899,4.45,1.0652,1.3932499999999999,3.6265,4.3014,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-11,24,24,24,1.0,high,True,True,True,True,2.3756666666666666,2.006,0.9532507616009304,1.198,4.092,1.3365,1.62575,3.18025,3.7978,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-12,24,24,24,1.0,high,True,True,True,True,2.3448333333333333,2.4395,0.7056497263032729,1.137,3.222,1.3163,1.8255,2.9415,3.203,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-13,24,24,24,1.0,high,True,True,True,True,4.880541666666667,5.02,1.8797517176285639,1.176,9.991,3.0047,3.6900000000000004,6.09,6.570399999999999,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-14,24,24,24,1.0,high,True,True,True,True,8.155958333333333,7.91,0.6698622492505563,7.303,9.895,7.4801,7.622,8.664250000000001,8.9523,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-10-15,24,24,24,1.0,high,True,True,True,True,7.656125,7.5760000000000005,0.4068771112948627,7.153,8.514,7.1895999999999995,7.34075,7.897,8.2409,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
